Product Name,Brand Name,Price (Ksh),Discount (%),Total Reviews,Original Rating,Adjusted Rating,Popularity
"NIVEA Indulge Gift Pack - (Nourishing Cocoa Body Lotion 400ml,Waterlily Shower Gel 250ml & Pearl & Beauty Roll-On 50ml)",product,"KSh 1,160",35%,0,0,1.25,Low
Nice & Lovely Baby Range Value Pack,product,"KSh 2,210",15%,0,0,1.25,Low
Rexona Men Antiperspirant Deodorant Roll On Extra Cool 25ml,product,KSh 169,15%,0,0,1.25,Low
Vaseline Vaseline  PJ Baby 240ML,product,KSh 272,8%,0,0,1.25,Low
NIVEA MEN Cool Kick Body Lotion For Men 200ml,product,KSh 300,20%,0,0,1.25,Low
Garnier Brightening Night Serum With 10% Pure Vitamin C,product,"KSh 1,575",37%,0,0,1.25,Low
Dettol Dettol Soap Herbal 175g,product,KSh 203,38%,0,0,1.25,Low
Garnier Pure Active 3 In1 Charcoal  Anti  Blackhead Mask Wash Scrub -  150ml,product,KSh 942,30%,0,0,1.25,Low
"Ecoflow Portable Power Station RIVER 2, 256Wh LiFePO4 Battery",product,"KSh 35,999",39%,0,0,1.25,Low
Nunix 5 Layer Shoe Rack – black,product,KSh 449,17%,0,0,1.25,Low
Superfoam Morning Glory Medium Density Quilted  - Brown & Beige,product,"KSh 7,000 - KSh 14,737",13%,0,0,1.25,Low
Sunnypex All Weathered Solar Fullkit /300watts Solar Panel + 200AH Battery + 1000w Inverter + 30 Amp Charge Controller + 4 Bulbs+10M Dropping Wire,product,"KSh 23,459",41%,0,0,1.25,Low
HOMMY 3 Column Portable Wardrobe - Navy Cover,product,"KSh 2,299",43%,0,0,1.25,Low
"Superfoam Luxury White Fiber Pillow 600gms ( 100% Pure Fiber, Soft Feel) 68 Cm X 43 Cm",product,KSh 299,69%,0,0,1.25,Low
Sun King Pico Plus Pack Of 2 SolarLight,product,"KSh 1,999",21%,0,0,1.25,Low
Knife Sharpeners Kitchen Sharpener  Three  Stages,product,KSh 400,43%,0,0,1.25,Low
Ecoa Char,product,"KSh 2,990",33%,0,0,1.25,Low
Rashnik Wooden Chopping Board + Butchery Knife & Plastic Border,product,KSh 589,17%,0,0,1.25,Low
Rashnik 3 Pcs White Bowl Set,product,KSh 660,17%,0,0,1.25,Low
EDENBERG 6 Pc Knife Set With Acrylic Stand And Rubber Handle (Eb-11006 Black),product,"KSh 1,560",17%,0,0,1.25,Low
Rashnik Baumann Portable table top room heater.,product,"KSh 1,440",17%,0,0,1.25,Low
"Mosquito Net With Metallic Stand, - Purple",product,"KSh 1,195 - KSh 1,299",52%,0,0,1.25,Low
"Rashnik 18"" 2 Layer Stainless Dish Drainer (RN-1601)",product,"KSh 1,020",17%,0,0,1.25,Low
Fashion  Men's Sneakers Breathable Sports Shoes Walking Style,product,KSh 600 - KSh 699,40%,0,0,1.25,Low
Fashion Women Backpack Bag Shoulder Bags PU Leather Travel Bag-Black,product,KSh 767,49%,0,0,1.25,Low
Fashion Mens Sneaker Causal Breathable Shoes Light Weight Walking Shoes,product,KSh 767 - KSh 850,62%,0,0,1.25,Low
"6pcs Mixed Assorted Colours, Llight Cotton Fabric Waist 28-32 Inches 28-32 Inches",product,KSh 492,45%,0,0,1.25,Low
Fashion 6Pcs Soft Cotton Checked Men's Boxers – Multicolor,product,KSh 528,15%,0,0,1.25,Low
Fashion 14Pcs Boho Vintage Ring Set Silver Rings Crystal Finger Rings Set Jewelry,product,KSh 239,52%,0,0,1.25,Low
Waanzilish Mens Sneakers Shoes Outdoor Hiking Shoes Non-slip Sports Shoes Breathable Blue,product,KSh 767,49%,0,0,1.25,Low
Fashion 3 Pieces Of Adjustable Baseball Cap - Multicolour+free Gift,product,KSh 495,45%,0,0,1.25,Low
Fashion 3Pack Finest Men's Long Sleeve Checked Shirt Slim Fit,product,"KSh 2,245 - KSh 2,489",25%,0,0,1.25,Low
Tisa Nyota Men Backpack Bags Oxford Business Laptop Backpack With USB Waterproof Bags,product,"KSh 1,350",33%,0,0,1.25,Low
Fashion 5PCs Classy Comfort Freesize Men Ankle Socks,product,KSh 239,32%,0,0,1.25,Low
Adidas Adilette Aqua Slides Unisex,product,"KSh 1,999 - KSh 2,249",57%,0,0,1.25,Low
